USGS_ID ,priority,qty,val,entry_datetime
1000000002,none,62,596.49,2017-07-12 01:34:44
1203001053,high,82,724.85,2017-05-10 07:15:40
1201000001,high,85,37.92,2017-05-17 19:34:19
1204000002,low,22,811.73,2017-06-20 19:22:28
1238000001,medium,23,40.53,2017-01-14 05:51:41
1159001031,medium,7,772.39,2017-02-08 19:00:59
3007000001,low,50,743.12,2017-03-16 13:03:27
1203001024,none,24,418.73,2017-06-12 22:16:08
1281000002,low,61,650.09,2017-04-28 12:11:57
1159001024,high,89,391.39,2017-04-22 21:38:28
1001000002,low,81,160.6,2017-02-10 06:33:59
1159001026,medium,53,166.02,2017-01-14 23:58:18
1495000002,none,61,939.41,2017-06-03 03:04:53
1344000002,high,7,54.85,2017-07-14 07:57:58
1365000001,medium,23,283.39,2017-01-24 04:08:31
1159001023,medium,47,509.93,2017-07-22 11:10:37
1203001051,high,6,406.78,2017-06-21 17:00:51
1074001003,high,32,895.55,2017-04-12 10:35:43
1181000001,low,34,235.28,2017-04-16 02:34:51
1405001001,medium,7,497.87,2017-06-05 02:13:56
1245001046,medium,47,723.43,2017-07-22 07:19:35
1000000001,low,2,87.55,2017-06-16 13:23:07
1107000001,high,46,188.45,2017-02-17 06:58:15
1491001004,high,11,687.27,2017-07-24 07:19:37
1195001004,none,10,438.56,2017-02-02 06:44:35
1037001001,medium,3,3.37,2017-06-23 13:24:33
1243001005,high,7,280.32,2017-03-01 00:46:33
1458000001,none,50,463.19,2017-01-14 21:55:56
1031001015,low,43,906.81,2017-04-08 21:15:09
1159001028,none,43,581.2,2017-05-02 19:13:01
1203001039,none,85,781.31,2017-08-01 00:59:20
1491001003,low,53,403.14,2017-04-07 09:35:54
1245001039,medium,36,700.6,2017-07-28 21:08:23
1491001005,medium,27,367.08,2017-05-08 10:04:25
1203001034,high,74,136.82,2017-03-03 08:07:33
1281000002,none,17,519.31,2017-06-20 11:26:02
1245001049,none,14,60.74,2017-07-26 09:57:54
1203001037,low,29,811.58,2017-01-24 12:32:52
1491001001,high,71,545.51,2017-01-02 04:18:28
1159001029,high,42,680.28,2017-02-23 16:15:25
1077001008,medium,13,731.93,2017-06-05 21:05:44
1378000002,medium,65,337.48,2017-01-17 15:29:19
1203001019,none,17,693.62,2017-04-27 12:16:52
1037001002,high,81,640.87,2017-01-09 19:28:28
1281000002,medium,40,67.3,2017-07-25 21:42:36
1203001018,low,27,577.39,2017-06-26 11:27:37
1203001002,high,74,723.12,2017-02-10 06:14:27
1245001004,none,77,7.76,2017-02-04 22:01:01
1203001014,low,88,89.62,2017-03-01 09:37:58
1064000002,low,18,631.79,2017-06-02 04:09:39
1132000001,medium,14,339.89,2017-04-02 17:11:14
1448000001,none,2,246.74,2017-07-16 15:30:45
1203001060,low,85,830.04,2017-02-20 10:32:02
1245001027,high,11,554,2017-07-05 10:27:33
1074001011,medium,93,760.87,2017-06-01 14:35:59
1410000002,high,47,382.63,2017-07-06 09:14:48
1022000002,none,44,146.61,2017-06-13 10:49:14
1203001049,none,70,568.59,2017-01-04 23:55:59
1131000002,none,90,893.77,2017-06-19 03:18:59
1245001056,medium,98,317.24,2017-05-16 02:49:06
1203001032,high,28,647.79,2017-02-24 16:44:01
1203001020,high,50,957.69,2017-06-13 22:55:37
1203001039,none,54,473.37,2017-02-22 07:28:08
1061000002,none,10,294.6,2017-03-27 14:10:09
1203001049,low,9,543.93,2017-05-05 04:05:02
1203001036,low,35,61.34,2017-03-18 16:29:48
1203001020,high,7,498.05,2017-01-17 13:52:28
1297000001,none,5,611.5,2017-07-25 01:35:18
1491001002,none,23,766.43,2017-07-10 11:29:07
